Year,GlobalMeanSeaLevel,PercentGMSL,AvgGlobalTemperature,InFahrenheit,,CO2Emissions,PercentCO,ArcticseaIce,PercentArc
1880,-158.7,3.528670447,13.72,56.696,,,,,
1881,-153.1,-7.057340895,13.8,56.84,,,,,
1882,-169.9,-3.717706364,13.74,56.732,,,,,
1883,-164.6,9.451795841,13.73,56.714,,,,,
1884,-143.7,8.506616257,13.69,56.642,,,,,
1885,-145.2,6.994328922,13.7,56.66,,,,,
1886,-147.6,3.465658475,13.73,56.714,,,,,
1887,-153.2,4.788909893,13.65,56.57,,,,,
1888,-151.1,5.797101449,13.72,56.696,,,,,
1889,-149.5,7.057340895,13.83,56.894,,,,,
1890,-147.5,5.986137366,13.6,56.48,,,,,
1891,-149.2,8.002520479,13.72,56.696,,,,,
1892,-146,10.96408318,13.67,56.606,,,,,
1893,-141.3,4.851921865,13.66,56.588,,,,,
1894,-151,12.28733459,13.65,56.57,,,,,
1895,-139.2,10.77504726,13.73,56.714,,,,,
1896,-141.6,7.498424701,13.82,56.876,,,,,
1897,-146.8,16.69817265,13.86,56.948,,,,,
1898,-132.2,21.42407057,13.73,56.714,,,,,
1899,-124.7,18.02142407,13.84,56.912,,,,,
1900,-130.1,17.76937618,13.91,57.038,,,,,
1901,-130.5,20.66792691,13.85,56.93,,,,,
1902,-125.9,25.70888469,13.75,56.75,,,,,
1903,-117.9,19.21865154,13.69,56.642,,,,,
1904,-128.2,15.75299307,13.65,56.57,,,,,
1905,-133.7,20.03780718,13.74,56.732,,,,,
1906,-126.9,19.15563957,13.81,56.858,,,,,
1907,-128.3,17.58034026,13.6,56.48,,,,,
1908,-130.8,20.41587902,13.66,56.588,,,,,
1909,-126.3,20.35286704,13.65,56.57,,,,,
1910,-126.4,25.58286074,13.66,56.588,,,,,
1911,-118.1,23.6294896,13.66,56.588,,,,,
1912,-121.2,24.7637051,13.68,56.624,,,,,
1913,-119.4,28.73345936,13.7,56.66,,,,,
1914,-113.1,33.71140517,13.86,56.948,,,,,
1915,-105.2,32.51417769,13.9,57.02,,,,,
1916,-107.1,29.67863894,13.71,56.678,,,,,
1917,-111.6,28.67044739,13.62,56.516,,,,,
1918,-113.2,29.67863894,13.67,56.606,,,,,
1919,-111.6,30.49779458,13.79,56.822,,,,,
1920,-110.3,31.821046,13.8,56.84,,,,,
1921,-108.2,31.25393825,13.85,56.93,,,,,
1922,-109.1,32.01008192,13.75,56.75,,,,,
1923,-107.9,27.41020794,13.78,56.804,,,,,
1924,-115.2,28.67044739,13.78,56.804,,,,,
1925,-113.2,32.76622558,13.83,56.894,,,,,
1926,-106.7,32.07309389,13.98,57.164,,,,,
1927,-107.8,29.61562697,13.85,56.93,,,,,
1928,-111.7,30.49779458,13.87,56.966,,,,,
1929,-110.3,33.01827347,13.73,56.714,,,,,
1930,-106.3,32.76622558,13.92,57.056,,,,,
1931,-106.7,36.357908,13.97,57.146,,,,,
1932,-101,39.06742281,13.92,57.056,,,,,
1933,-96.7,35.66477631,13.8,56.84,,,,,
1934,-102.1,39.19344675,13.92,57.056,,,,,
1935,-96.5,36.73597984,13.87,56.966,,,,,
1936,-100.4,40.32766226,13.94,57.092,,,,,
1937,-94.7,41.96597353,14.06,57.308,,,,,
1938,-92.1,45.24259609,14.1,57.38,,,,,
1939,-86.9,41.90296156,14.01,57.218,,,,,
1940,-92.2,49.59042218,14.03,57.254,,,,,
1941,-80,49.59042218,14.09,57.362,,,,,
1942,-80,49.59042218,14.02,57.236,,,,,
1943,-80,45.55765595,14.08,57.344,,,,,
1944,-86.4,47.32199118,14.19,57.542,,,,,
1945,-83.6,52.0478891,14.06,57.308,,,,,
1946,-76.1,54.00126024,13.94,57.092,,,,,
1947,-73,57.02583491,13.99,57.182,,,,,
1948,-68.2,56.20667927,13.95,57.11,,,,,
1949,-69.5,57.59294266,13.93,57.074,,,,,
1950,-67.3,63.57908003,13.84,56.912,,,,,
1951,-57.8,61.94076875,13.96,57.128,,,,,
1952,-60.4,64.71329553,14.02,57.236,,,,,
1953,-56,62.88594833,14.1,57.38,,,,,
1954,-58.9,63.45305608,13.89,57.002,,,,,
1955,-58,60.23944549,13.89,57.002,,,,,
1956,-63.1,68.68304978,13.81,56.858,,,,,
1957,-49.7,69.56521739,14.08,57.344,,,,,
1958,-48.3,69.75425331,14.08,57.344,,,,,
1959,-48,72.08569628,14.06,57.308,,1.837362,,,
1960,-44.3,75.99243856,13.99,57.182,,1.94922019,6.087977764,,
1961,-38.1,72.71581601,14.07,57.326,,2.05313635,11.74370374,,
1962,-43.3,71.70762445,14.04,57.272,,2.5350508,37.9723103,,
1963,-44.9,66.72967864,14.08,57.344,,2.76624551,50.55528034,,
1964,-52.8,73.78701953,13.79,56.822,,2.87963372,56.72653075,,
1965,-41.6,70.38437303,13.89,57.002,,2.89257519,57.43088134,,
1966,-47,71.26654064,13.97,57.146,,2.9559455,60.87986472,,
1967,-45.6,71.77063642,14,57.2,,3.145189708,71.17964277,,
1968,-44.8,76.05545054,13.96,57.128,,3.72591909,102.7863366,,
1969,-38,74.85822306,14.08,57.344,,4.02729147,119.1887864,,
1970,-39.9,78.13484562,14.03,57.254,,4.26182847,131.9536635,,
1971,-34.7,83.8689351,13.89,57.002,,4.368008,137.7325753,,
1972,-25.6,80.08821676,14,57.2,,4.67787955,154.5975997,,
1973,-31.6,87.58664146,14.14,57.452,,4.38103251,138.4414454,,
1974,-19.7,86.57844991,13.92,57.056,,4.2549261,131.5779961,,
